Title;Latitude;Longitude
Szymankowo (Szymankowo);54.072777;18.926392
Ptusza (Ptusza);53.364723;16.783885
Sumina Wies (Sumina Wieś);50.12111;18.410555
Ptaszkowo Wielkopolskie (Ptaszkowo Wielkopolskie);52.22917;16.441387
Daleszewo Gryfinskie (Daleszewo Gryfińskie);53.306114;14.529166
Dabrowa Chelminska (Dąbrowa Chełmińska);53.174997;18.281668
Dabrowy (Dąbrowy);53.517504;18.489445
Dalanowek (Dalanówko);52.594447;20.463611
Dalekie (Dalekie);52.682226;21.49444
Czudec (Czudec);49.940274;21.833333
Czarna Tarnowska (Czarna Tarnowska);50.06028;21.248612
Smrokow (Smroków);50.274726;20.046664
Potegowo (Potęgowo);54.485004;17.487219
Smogorzow Przysuski (Smogorzów Przysuski);51.395277;20.604445
Pietrzykowice Zywieckie (Pietrzykowice Żywieckie);49.709997;19.17222
Smolniki (Smolniki);53.540004;19.60444
Prostynia (Prostynia);53.305278;15.773893
Smolec (Smolec);51.071665;16.88167
Platerow (Platerów);52.301111;22.821113
Ptaszkowa (Ptaszkowa);49.603331;20.881663
Pszczolki (Pszczółki);54.174723;18.701941
Pszczyna (Pszczyna);49.975278;18.953333
Czarnca (Czarnca);50.823886;19.945275
Czermno (Czermno);52.863611;19.424718
Czaplinek (Czaplinek);53.537496;16.238887
Czarna Woda (Czarna Woda);53.851112;18.108608
Czeremcha (Czeremcha);52.519441;23.353607
Cieszyn (Cieszyn);49.751114;18.63694
Poznan Strzeszyn (Poznań Strzeszyn);52.460004;16.866388
Szymocice Pods (Szymocice Pods);50.151107;18.349447
Smetowo (Smętówo);53.748059;18.685832
Smardzew (Smardzew);51.871112;19.467498
Pasikurowice (Pasikurowice);51.209164;17.109726
Smardy (Smardy);50.99194;18.145832
Piastoszyn (Piastoszyn);53.621941;17.728885
Slowik Przystanek (Słowik Przystanek);50.833613;20.538608
Slomianka (Słomianka);51.401389;20.204443
Slawkow (Sławków);50.295554;19.373893
Czachowek Wschodni (Czachówek Wschodni);51.971944;21.09611
Czechowice-Dziedzice Poludniowe (Czechowice Dziedzice Południowe);49.890276;19.024168
Czechowice-Dziedzice Przystanek (Czechowice-Dziedzice Przystanek);49.906393;19.022496
Czarna Bialostocka (Czarna Białostocka);53.305835;23.280282
Czachowek Poludniowy (Czachówek Południowy);51.959718;21.081107
Chynow (Chynów);51.903608;21.100559
Slupca (Słupca);52.287222;17.852226
Slotwiny (Słotwiny);51.722223;19.839445
Slosinko (Słosinko);53.93917;16.974448
Pasym (Pasym);53.631946;20.765558
Slomniki Miasto (Słomniki Miasto);50.23583;20.076391
Slupia (Słupia);51.251944;18.041386
Slonice (Słonice);53.090831;15.51833
Piasecznica (Piasecznica);52.209996;20.343892
Slomniki (Słomniki);50.248334;20.064166
Slawa Wielkopolska (Sława Wielkopolska);52.63417;17.143885
Chybie Mnich (Chybie Mnich);49.887498;18.820832
Cybowo (Cybowo);53.293331;15.816107
Czyzowice (Czyżowice);49.974442;18.426385
Czechowizna (Czechowizna);53.351114;22.836664
Stok Lacki (Stok Lacki);52.161391;22.386107
Sliwice (Śliwice);53.713334;18.18222
Sterlawki Male (Sterławki Małe);54.011668;21.646942
Slowienkowo (Słowienkowo);54.207219;15.942504
Slesin (Ślesin);53.156111;17.701387
Czerwonak (Czerwonak);52.468607;16.979724
Czarnowesy Pomorskie (Czarnowęsy Pomorskie);53.93944;15.98167
Chelmek Wolowski (Chełmek Wołowski);51.456385;16.359163
Jedlicze Mecinka (Jedlicze Męcinka);49.726115;21.626114
Jedlicze (Jedlicze);49.719166;21.648056
Jedlnia-Letnisko (Jedlnia-Letnisko);51.429723;21.32778
Jedlina Gorna (Jedlina Górna);50.730003;16.322226
Zgierz Kontrewers (Zgierz Kontrewers);51.86472;19.341667
Czeska Wies (Czeska Wieś);50.758337;17.459721
Czerniewice (Czerniewice);52.508887;19.089448
Slawki (Sławki);54.257226;18.176108
Skorzewo (Skórzewo);54.164997;17.980835
Sierakowek (Sierakówek);52.372503;19.421671
Skawa Srodkowa (Skawa Środkowa);49.6125;19.900553
Skrzynki (Skrzynki);51.603053;19.966112
Czestochowa Aniolow (Częstochowa Aniołów);50.835276;19.151941
Jazy (Jazy);54.129166;15.790829
Chotylow (Chotyłów);51.996943;23.356663
Czestochowa Rakow (Częstochowa Raków);50.788334;19.15444
Jastarnia (Jastarnia);54.701114;18.677499
Chotomow (Chotomów);52.415831;20.884441
Jarszewo (Jarszewo);53.929444;14.800002
Jastrzebie Pomorskie (Jastrzębie Pomorskie);53.519724;18.266665
Jarosty (Jarosty);51.461392;19.693055
Czaszyn (Czaszyn);49.458892;22.219447
Skokowa (Skokowa);51.381946;16.850837
Skoki (Skoki);52.674442;17.162223
Skleczki (Sklęczki);52.224999;19.402776
Skalmierz (Skalmierz);51.697224;18.430278
Skwierzyna (Skwierzyna);52.590554;15.499722
Skorka (Skórka);53.218613;16.870002
Skepe (Skępe);52.872222;19.341667
Jaksice (Jaksice);52.856941;18.198059
Jarzebia Laka (Jarzębia Łąka);52.458053;21.447777
Chrzanow Srodmiescie (Chrzanów Śródmieście);50.144724;19.414165
Jackowice (Jackowice);52.15722;19.794723
Chelm Slaski (Chełm Śląski);50.111941;19.183052
Jadachy (Jadachy);50.482782;21.696391
Cisiec (Cisiec);49.58306;19.104999
Chrzastowice (Chrząstowice);50.660274;18.073055
Czeruchy Po (Czeruchy Po);52.936945;20.504997
Chruszczobrod (Chruszczobród);50.400279;19.329163
Skoczow Bladnice (Skoczów Bładnice);49.771393;18.77861
Skawa (Skawa);49.630829;19.88111
Swiercze (Świercze);52.67028;20.762781
Wielun (Wieluń);51.223888;18.581944
Werchrata (Werchrata);50.248334;23.485829
Iwin (Iwin);53.795001;16.515557
Sieniawa Zarska (Sieniawa Żarska);51.636664;15.062226
Izbica (Izbica);50.890559;23.155278
Jackow (Jacków);50.964442;19.354719
Inwald (Inwałd);49.85306;19.387782
Chrosnica (Chrośnica);52.281388;15.992223
Inowroclaw Rabinek (Inowrocław Rąbinek);52.769997;18.240282
Chronow (Chronów);51.358052;20.929998
Chrzesne (Chrzęsne);52.446664;21.47389
Chroscice (Chróścice);50.793332;17.816108
Ilowo (Iłowo);53.1675;20.289723
Czersk (Czersk);53.800556;17.970003
Czuprynowo (Czuprynowo);53.472225;23.63167
Czepino (Czepino);53.284719;14.5125
Cierpice Kakol (Cierpice Kąkol);52.991392;18.448337
Stykow Ilzecki (Styków Iłżecki);51.010835;21.152778
Silnowo (Silnowo);53.635002;16.491664
Sitno (Sitno);51.985832;22.866113
Sierakowice Skierniewickie (Sierakowice Skierniewickie);51.998615;20.061667
Sierpow (Sierpów);52.018337;19.222776
Szczecin Zdunowo (Szczecin Zdunowo);53.383052;14.765834
Sierpc (Sierpc);52.847781;19.653611
Imielin (Imielin);50.142504;19.176113
Ilawa Miasto (Iława Miasto);53.596115;19.547223
Ilowiec (Iłowiec);52.183891;16.799446
Hartowiec (Hartowiec);53.395556;19.845557
Wielanowo (Wielanowo);53.873612;16.326388
Wiekowo (Wiekowo);54.303332;16.38694
Wejherowo-Nanice (Wejherowo-Nanice);54.603608;18.24972
Imbramowice (Imbramowice);50.963615;16.579444
Wejherowo Smiechowo (Wejherowo Śmiechowo);54.601945;18.274441
Wegry (Węgry);50.926112;17.032779
Wegrzce Wielkie (Węgrzce Wielkie);50.018615;20.105552
Siodmak (Siódmak);53.524444;20.971393
Silno (Silno);53.644171;17.693333
Sierakow Slaski (Sieraków Śląski);50.799445;18.592776
Szczecin Zdroje (Szczecin Zdroje);53.37889;14.637225
Siechnice (Siechnice);51.038333;17.144164
Hucisko (Hucisko);49.689169;19.407504
Hurko (Hurko);49.785282;22.862778
Henrykow (Henryków);50.66333;17.030001
Halinow (Halinów);52.223336;21.35028
Hel (Hel);54.6109936;18.8012524
Widzow Teklinow (Widzów Teklinów);50.982222;19.368329
Radlin Obszary (Radlin Obszary);50.04;18.495836
Wodzislaw Slaski Radlin (Wodzisław Śląski Radlin);50.01972;18.480833
Henrykowo (Henrykowo);54.184719;20.130003
Holowki Duze (Hołówki Duże);52.97167;23.095553
Glucholazy (Głuchołazy);50.33028;17.394442
Grodziszcze Mazowieckie (Grodziszcze Mazowieckie);52.160834;21.872499
Hrebenne (Hrebenne);50.298332;23.576944
Horyniec-Zdroj (Horyniec-Zdrój);50.194444;23.356393
Widzino (Widzino);54.428336;16.961944
Rydultowy (Rydułtowy);50.068891;18.426107
Walcz (Wałcz);53.275002;16.484167
Wilczyska (Wilczyska);49.676386;20.942223
Hajnowka (Hajnówka);52.73333;23.583056
Wierzchoslawice (Wierzchosławice);52.869166;18.359721
Walcz Radun (Wałcz Raduń);53.276944;16.458611
Wierchomla Wielka (Wierchomla Wielka);49.402224;20.755832
Wisloczanka (Wisłoczanka);49.951942;21.914721
Wieclawice (Wieclawice);52.841947;18.306388
Gorzanow (Gorzanów);50.354164;16.640831
Gorzupia (Gorzupia);51.691948;17.503885
Gorlice Zagorzany (Gorlice Zagórzany);49.693888;21.195
Wieliczka Park (Wieliczka Park);49.989166;20.049163
Gorzow Wielkopolski Zamoscie (Gorzów Wielkopolski Zamoście);52.722777;15.238891
Warzachewka (Warząchewka);52.58472;19.080836
Gorzkowice (Gorzkowice);51.218333;19.603334
Wachock (Wąchock);51.080277;21.015279
Gzin (Gzin);53.191942;18.331945
Gorzow Wielkopolski Zieleniec (Gorzów Wielkopolski Zieleniec);52.699719;15.26167
Warszawa Dawidy (Warszawa Dawidy);52.128608;20.991107
Gorzedow (Gorzędów);51.196948;19.54361
Wabrzezno (Wąbrzeźno);53.265276;18.982224
Koziolek (Koziołek);52.865831;19.498888
Krzciecice (Krzcięcice);50.587497;20.140278
Konin Zachod (Konin Zachód);52.236667;18.222222
Konin Zaganski (Konin Żagański);51.545558;15.191671
Kozlowo (Kozłowo);53.310276;20.312502
Karzec (Karzec);51.754719;16.90417
Gdansk Zabianka-AWFiS (Gdańsk Żabianka-AWFiS);54.4208562;18.5680397
Gryzliny (Gryźliny);53.613329;20.349448
Golancz (Gołańcz);52.947498;17.305835
Grzybno (Grzybno);53.20361;18.446108
Wierzbowa Slaska (Wierzbowa Śląska);51.39667;15.759169
Gdynia Leszczynki (Gdynia Leszczynki);54.541393;18.477777
Grzywna (Grzywna);53.154448;18.617226
Wroblik Szlachecki (Wróblik Szlachecki);49.613615;21.878333
Brzezie (Brzezie);52.696115;18.965558
Gorzyca (Górzyca);52.499718;14.656948
Gorzyniec (Górzyniec);50.859996;15.568058
Warszawa Wawer (Warszawa Wawer);52.223615;21.149721
Wegierska Gorka (Węgierska Górka);49.603331;19.117782
Warszawa Ursus (Warszawa Ursus);52.196665;20.886113
Kalwaria Zebrzydowska (Kalwaria Zebrzydowska);49.873888;19.673612
Krzywizna (Krzywizna);51.027222;18.201943
Krzyzowa (Krzyżowa);50.793889;16.530003
Konczyce Radomskie (Kończyce Radomskie);51.349171;21.043891
Kruszyna (Kruszyna);51.571942;21.178613
Krzymosze (Krzymosze);52.178057;22.43917
Goworowo (Goworowo);52.921115;21.581941
Gawrony (Gawrony);52.11222;19.219719
Gdansk Wrzeszcz (Gdańsk Wrzeszcz);54.381943;18.605001
Goscicino Wejherowskie (Gościcino Wejherowskie);54.605558;18.161392
Gdynia Wzgorze Sw. Maksymiliana (Gdynia Wzgórze Św. Maksymiliana);54.508052;18.535281
Pszczyna Czarkow (Pszczyna Czarków);50.011387;18.921385
Wasilkow (Wasilków);53.197776;23.176663
Warka (Warka);51.79278;21.17028
Milowka Zabawa (Milówka Zabawa);49.540002;19.102779
Waplewo (Waplewo);53.51194;20.353888
Warszawa Ochota (Warszawa Ochota);52.22560442839062;20.990560054779056
Wandzin (Wandzin);51.398612;22.630002
Warszawa Miedzeszyn (Warszawa Miedzeszyn);52.172781;21.200277
Krzywda (Krzywda);51.794721;22.204722
Konczyce (Kończyce);49.850552;18.625281
Korzybie (Korzybie);54.296114;16.873885
Warszawa Choszczowka (Warszawa Choszczówka);52.358057;20.97222
Wadowice (Wadowice);49.884999;19.501945
Warszawa Golabki (Warszawa Gołąbki);52.208333;20.863891
Walbrzych Fabryczny (Wałbrzych Fabryczny);50.761393;16.2675
Warszawa Olszynka Grochowska (Warszawa Olszynka Grochowska);52.249998;21.106663
Walawa (Walawa);49.859443;22.855281
Warszawa Rembertow (Warszawa Rembertów);52.256947;21.158333
Szczecin Gocław;53.47440806978682;14.601913690567018
Szczecin Niebuszewo;53.44822539063645;14.55442786216736
Szczecin Pogodno;53.43849938693257;14.523400068283083
Szczecin Turzyn;53.428761567815876;14.52872157096863
Szczecin Pomorzany;53.413522374224996;14.531060457229616
Warszawa Goclawek (Warszawa Gocławek);52.236946;21.135554
Korwinow (Korwinów);50.738893;19.176391
Krzycko Wielkie (Krzycko Wielkie);51.904165;16.452777
Kolonowskie (Kolonowskie);50.651941;18.388055
Krzeszowice (Krzeszowice);50.130836;19.632225
Kalisz Winiary (Kalisz Winiary);51.733613;18.143054
Ustron Zdroj (Ustroń Zdrój);49.721386;18.815555
Jastarnia Wczasy (Jastarnia Wczasy);54.708053;18.655556
Podzamcze (Podzamcze);51.209721;22.787223
Uhowo (Uhowo);53.003887;22.908056
Uhrusk Przystanek (Uhrusk Przystanek);51.295829;23.618887
Ustron (Ustroń);49.728056;18.80306
Ustanowek (Ustanówek);51.99528;21.061115
Ustron Polana (Ustroń Polana);49.696666;18.830001
Karwica Mazurska (Karwica Mazurska);53.617221;21.443893
Kwiatki (Kwiatki);53.578334;18.421666
Krzepow (Krzepow);51.64444;16.134163
Kawnice (Kawnice);52.249719;18.151109
Kwidzyn (Kwidzyn);53.731393;18.933611
Warszawa Aleje Jerozolimskie (Warszawa Aleje Jerozolimskie);52.204171;20.943059
Unieszewo (Unieszewo);53.729164;20.299998
Unislaw Pomorski (Unisław Pomorski);53.206666;18.384163
Ulikowo (Ulikowo);53.348615;15.117501
Uhrusk (Uhrusk);51.319444;23.619166
Kwieciszowice (Kwieciszowice);50.924997;15.502779
Krolewo Malborskie (Królewo Malborskie);54.037503;19.118609
Krzewie (Krzewie);52.235274;19.165559
Kuznia Raciborska (Kuźnia Raciborska);50.200556;18.298334
Marcinkow (Marcinków);51.093329;20.980275
Kulice Tczewskie (Kulice Tczewskie);53.879446;18.69056
Namyslin (Namyślin);52.678334;14.570274
Kusieta Nowe (Kusięta Nowe);50.778059;19.262778
Najmowo (Najmowo);53.307219;19.321109
Kupienino (Kupienino);52.257225;15.613337
Kunow (Kunów);50.968891;21.293612
Kotowo (Kotowo);52.228334;16.483331
Morzyca (Morzyca);53.218613;15.155552
Kuklinow (Kuklinów);51.719167;17.319166
Wieliczka Rynek-Kopalnia (Wieliczka Rynek-Kopalnia);49.985552;20.056669
Lebork;54.532836478496826;17.751846313476566
Warszawa Ochota WKD;52.22529554377552;20.989551544189453
Warszawa Wschodnia;52.25193715289342;21.05184316635132
Moszczenica Pomorska (Moszczenica Pomorska);53.641942;17.488055
Kuznica Hel (Kuźnica Hel);54.736109;18.577503
Krusze (Krusze);52.42722;21.370281
Mieszkow (Mieszków);52.023614;17.440278
Morzeszczyn (Morzeszczyn);53.837223;18.686668
Moszczenica (Moszczenica);51.502779;19.700004
Kundzin (Kundzin);53.439442;23.590832
Kubice (Kubice);50.475554;17.442498
Koszalin Wask. (Waskotowory);54.18707256126761;16.16917669773102
Kaczorowo (Kaczorowo);52.726948;20.173331
Galezinowo (Gałęzinowo);54.522777;16.94028
Kostrzyn Wielkopolski (Kostrzyn Wielkopolski);52.393331;17.225004
Myszkow Swiatowit (Myszków Światowit);50.565554;19.359726
Kartuzy (Kartuzy);54.333886;18.206114
Krostkowo (Krostkowo);53.107776;17.208329
Katy Wroclawskie (Kąty Wrocławskie);51.038333;16.751111
Mysliczyn (Myśliczyn);50.525552;17.328335
Mordy Miasto (Mordy Miasto);52.203056;22.520558
Kostow (Kostow);51.164721;18.147504
Katowice Szopienice Poludniowe (Katowice Szopienice Południowe);50.258887;19.093052
Czestochowa Gnaszyn (Częstochowa Gnaszyn);50.79139;19.028887
Zielone Wzgorza (Zielone Wzgórza);52.565277;17.008607
Porosiuki (Porosiuki);52.011946;23.062221
Zarzecze (Zarzecze);50.363612;19.699447
Milanówek Grudów WKD;52.12224168234261;20.682250857353214
Kazimierówka WKD;52.11105837462331;20.698263645172123
Grodzisk Mazowiecki Radońska WKD;52.10053790515294;20.628279447555542
Trakiszki;54.239324814300225;23.20814609527588
Kostomloty (Kostomłoty);50.921114;20.61667
Katowice Podlesie (Katowice Podlesie);50.183054;18.960282
Konotopie (Konotopie);52.869723;19.102779
Myslakow (Mysłaków);52.091941;20.013889
Malowice Wolowskie (Małowice Wołowskie);51.404446;16.471663
Kotlin (Kotlin);51.914718;17.648612
Milowka (Milówka);49.555832;19.093888
Kotomierz (Kotomierz);53.284998;18.121669
Muszyna Zdroj (Muszyna Zdrój);49.357782;20.896387
Katne (Kątne);52.60722;20.762502
Myslowice Kosztowy (Mysłowice Kosztowy);50.174443;19.160274
Zywiec (Żywiec);49.679443;19.18583
Zytkowice (Żytkowice);51.483056;21.558056
Zywiec Sporysz (Żywiec Sporysz);49.676108;19.223054
Zyrardow (Żyrardów);52.051948;20.448059
Zygmuntowo Mazowieckie (Zygmuntowo Mazowieckie);52.727226;21.52556
Zychlin (Żychlin);52.213331;19.617501
Zygmuntow (Zygmuntów);51.409165;20.570555
Zyczyn (Życzyn);51.647496;21.760835
Murowana Goslina (Murowana Goślina);52.575003;17.015834
Munina (Munina);49.989723;22.719166
Motycz Lesny (Motycz Leśny);51.243889;22.359166
Mostowka (Mostówka);52.519998;21.442779
Mietkow (Mietków);50.984721;16.654719
Mosty (Mosty);53.574163;14.94
Lupowo (Łupowo);52.700555;15.122499
Nowiny Wielkie (Nowiny Wielkie);52.672779;15.002781
Kamien Maly (Kamień Mały);52.641946;14.780837
Dąbroszyn (Dąbroszyn);52.618888;14.712222
Skierniewice (Skierniewice);51.967224;20.150004
Zawidz Koscielny (Zawidz Kościelny);52.824445;19.876948
Zwierzyniec (Zwierzyniec);50.60917;22.984447
Rzeszow Zwieczyca (Rzeszów Zwięczyca);50.006389;21.95778
Zawadowka (Zawadowka);51.124171;23.355557
Mszalnica (Mszalnica);49.593056;20.830002
Miasowa (Miąsowa);50.719441;20.364999
Mosina (Mosina);52.241108;16.852221
Myszkow (Myszków);50.574445;19.328336
Mscice (Mścice);54.214168;16.073612
Mrozow Po (Mrozów Po);51.183886;16.792497
Martiany (Martiany);54.026941;21.514998
Wieliczka Bogucice (Wieliczka Bogucice);49.998614;20.034996
Tychy Aleja Bielska (Tychy Aleja Bielska);50.117226;18.982503
Tychy Grota Roweckiego (Tychy Grota Roweckiego);50.11417;18.986108
Tychy Lodowisko (Tychy Lodowisko);50.108057;18.999996
Myszkow Mrzyglod (Myszków Mrzygłód);50.543054;19.377498
Mrzezino (Mrzezino);54.652779;18.412776
Mokrzyca (Mokrzyca);54.557223;16.883612
Witnica (Witnica);52.667502;14.896115
Przylubie (Przyłubie);53.050002;18.32389
Zebrzydowice (Zebrzydowice);49.869996;18.624723
Raciborz (Racibórz);50.089998;18.226115
Rybnik (Rybnik);50.088892;18.547497
Tychy (Tychy);50.13694;18.964165
Poronin (Poronin);49.343893;20.003615
Proboszczewice Plockie (Proboszczewice Płockie);52.660275;19.713892
Motycz (Motycz);51.221389;22.42361
Mostki (Mostki);52.269442;15.394171
Wroclaw Nadodrze (Wrocław Nadodrze);51.125834;17.032779
Montowo (Montowo);53.416115;19.779999
Mokre Malopolskie (Mokre Małopolskie);49.447503;22.167498
Modla (Modla);51.375833;15.813329
Mokrz (Mokrz);52.741115;16.278332
Kolo (Koło);52.211111;18.63222
Jelenia Gora (Jelenia Góra);50.902497;15.755277
Prostki (Prostki);53.696111;22.431107
Zabrzeg (Zabrzeg);49.907778;18.939166
Wielun Dabrowa (Wieluń Dąbrowa);51.23944;18.551389
Przylep (Przylep);51.976942;15.438614
Naklo nad Notecia (Nakło nad Notecią);53.142501;17.607504
Elblag (Elbląg);54.15083;19.416385
Miedzyzdroje (Międzyzdroje);53.924167;14.454996
Czechowice-Dziedzice (Czechowice-Dziedzice);49.914996;19.005003
Dabrowa Gornicza (Dąbrowa Górnicza);50.33028;19.185282
Monki (Mońki);53.402496;22.796671
Morochow (Morochów);49.462218;22.186942
Zary (Żary);51.634444;15.137781
Krzewina Zgorzelecka (Krzewina Zgorzelecka);51.015554;14.939721
Mokra (Mokra);51.978614;20.099718
Myszkow Nowa Wies (Myszków Nowa Wieś);50.594724;19.291669
Minkowice Olawskie (Minkowice Oławskie);51.011941;17.456386
Mankowice (Mańkowice);50.489164;17.477781
Tuplice (Tuplice);51.671389;14.838611
Kamien Pomorski (Kamień Pomorski);53.966111;14.773888
Nidzica (Nidzica);53.357226;20.413891
Przylek Duzy (Przyłęk Duży);51.840836;19.917498
Warszawa Srodmiescie (Warszawa Śródmieście);52.22944;21.007782
Olesnica Rataje (Oleśnica Rataje);51.216113;17.364445
Krakow Plaszow (Kraków Płaszów);50.035002;19.975002
Papowo Torunskie (Papowo Toruńskie);53.067225;18.692223
Popowo Skwierzynskie (Popowo Skwierzyńskie);52.536107;15.522222
Pila Podlasie (Piła Podlasie);53.163329;16.777503
Popielow (Popielów);50.829442;17.762775
Krakow Prokocim (Kraków Prokocim);50.02639;19.998886
Szczecinek (Szczecinek);53.693612;16.704996
Zgorzelec Miasto (Zgorzelec Miasto);51.153332;15.020274
Jaroslaw (Jarosław);50.01056;22.677222
Kluczbork (Kluczbork);50.971112;18.200558
Lubliniec (Lubliniec);50.673335;18.690003
Przemysl Glowny (Przemyśl Główny);49.78361;22.776113
Poznan Wschod (Poznań Wschód);52.418887;16.974169
Czestochowa Stradom (Częstochowa Stradom);50.797224;19.107219
Powalki (Powałki);53.743052;17.599719
Zdunska Wola (Zduńska Wola);51.611386;18.946942
Policzna (Policzna);52.589718;23.423893
Potok (Potok);50.617503;20.196946
Tarnow (Tarnów);50.005275;20.974441
Poraj (Poraj);50.67694;19.219441
Rzeszow Glowny (Rzeszów Główny);50.043056;22.006663
Bochnia (Bochnia);49.977219;20.431393
Debica (Dębica);50.054167;21.404997
Zielona Gora (Zielona Góra);51.947502;15.514168
Miedzylesie (Międzylesie);50.14361;16.654998
Poznan Staroleka (Poznań Starołęka);52.367496;16.931389
Poniec (Poniec);51.761668;16.808057
Ostrzeszow (Ostrzeszów);51.429445;17.940554
Luban Slaski (Lubań Śląski);51.111388;15.293609
Pokrzywnica (Pokrzywnica);50.343889;18.08111
Poznan Junikowo (Poznań Junikowo);52.37778;16.825559
Wysoka Kamienska (Wysoka Kamieńska);53.825555;14.832219
Mogilno (Mogilno);52.658612;17.94611
Chociwel (Chociwel);53.470553;15.335831
Chroscina Opolska Po (Chróścina Opolska Po);50.669721;17.818058
Chojnow (Chojnów);51.2775;15.934719
Chocznia (Chocznia);49.873888;19.451668
Miechow (Miechów);50.354721;20.01139
Mlawa (Mława);53.126392;20.350553
Ostroda (Ostróda);53.699724;19.951387
Walbrzych Miasto (Wałbrzych Miasto);50.78472;16.284166
Zagan (Żagań);51.604168;15.315003
Kostrzyn nad Odra (Kostrzyn nad Odrą);52.591948;14.648893
Podbiele (Podbiele);52.692222;23.210274
Malaszewicze (Małaszewicze);52.026391;23.527782
Pobiedziska (Pobiedziska);52.479169;17.277222
